resume_id,job_id,variant_id,proxy_type,proxy_value,base_skills_score,base_experience_score,base_education_course_score,base_projects_score,base_semantic_score,base_score,variant_skills_score,variant_experience_score,variant_education_course_score,variant_projects_score,variant_semantic_score,variant_score,score_delta,company,original_value,variant_value,original_course_status,variant_course_status,jd_requirement,context_classification,primary_changed_component,primary_component_change,primary_weighted_change,explanation
R001,JOB022,R001_CF_NAME,name,Ananya Iyer,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0,1.0,0.0,0.0,0.766267,0.415592,-0.000774,Company_Data_A,Priya Nair,Ananya Iyer,,,Company: Company_Data_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Applications|Business Intelligence; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech|MCA; Minimum experience: 2 years,Not Supported,semantic,-0.00329,-0.000774,Changing name to Ananya Iyer changed the score from 0.4164 to 0.4156 (delta -0.0008). semantic made the largest negative weighted contribution change (-0.0008).
R002,JOB013,R002_CF_EXPERIENCE,experience,60,0.333333,1.0,0.0,0.0,0.727377,0.524089,0.333333,1.0,0.0,0.0,0.729963,0.524697,0.000608,Company_Consulting_A,48,60,,,Company: Company_Consulting_A; Preferred course: Human Resources; Accepted courses: Human Resources|Business Administration|Commerce; Preferred degree: MBA; Accepted degrees: MBA|BBA|M.Com; Minimum experience: 1 years,Potentially Beneficial,semantic,0.002586,0.000608,Changing experience to 60 changed the score from 0.5241 to 0.5247 (delta +0.0006). semantic made the largest positive weighted contribution change (+0.0006).
R003,JOB002,R003_CF_NAME,name,Arjun Sharma,0.0,1.0,0.0,0.0,0.651528,0.388595,0.0,1.0,0.0,0.0,0.644201,0.386871,-0.001724,Company_Creative_A,Priya Nair,Arjun Sharma,,,Company: Company_Creative_A; Preferred course: Fine Arts; Accepted courses: Fine Arts|Graphic Design|Visual Arts|Arts|Design; Preferred degree: Bachelor's Degree; Accepted degrees: Bachelor's Degree|B.A.|BFA|Diploma; Minimum experience: 1 years,Not Supported,semantic,-0.007327,-0.001724,Changing name to Arjun Sharma changed the score from 0.3886 to 0.3869 (delta -0.0017). semantic made the largest negative weighted contribution change (-0.0017).
R003,JOB002,R003_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.0,1.0,0.0,0.0,0.651528,0.388595,0.0,1.0,0.0,0.0,0.658611,0.390261,0.001666,Company_Creative_A,BITS Pilani,Indian Institute of Technology Roorkee,,,Company: Company_Creative_A; Preferred course: Fine Arts; Accepted courses: Fine Arts|Graphic Design|Visual Arts|Arts|Design; Preferred degree: Bachelor's Degree; Accepted degrees: Bachelor's Degree|B.A.|BFA|Diploma; Minimum experience: 1 years,Not Supported,semantic,0.007083,0.001667,Changing college to Indian Institute of Technology Roorkee changed the score from 0.3886 to 0.3903 (delta +0.0017). semantic made the largest positive weighted contribution change (+0.0017).
R003,JOB002,R003_CF_CITY,city,Mumbai,0.0,1.0,0.0,0.0,0.651528,0.388595,0.0,1.0,0.0,0.0,0.654945,0.389399,0.000804,Company_Creative_A,Delhi,Mumbai,,,Company: Company_Creative_A; Preferred course: Fine Arts; Accepted courses: Fine Arts|Graphic Design|Visual Arts|Arts|Design; Preferred degree: Bachelor's Degree; Accepted degrees: Bachelor's Degree|B.A.|BFA|Diploma; Minimum experience: 1 years,Not Supported,semantic,0.003417,0.000804,Changing city to Mumbai changed the score from 0.3886 to 0.3894 (delta +0.0008). semantic made the largest positive weighted contribution change (+0.0008).
R003,JOB002,R003_CF_DEGREE,degree,B.Com,0.0,1.0,0.0,0.0,0.651528,0.388595,0.0,1.0,0.0,0.0,0.670788,0.393127,0.004532,Company_Creative_A,M.Com,B.Com,,,Company: Company_Creative_A; Preferred course: Fine Arts; Accepted courses: Fine Arts|Graphic Design|Visual Arts|Arts|Design; Preferred degree: Bachelor's Degree; Accepted degrees: Bachelor's Degree|B.A.|BFA|Diploma; Minimum experience: 1 years,Not Supported,semantic,0.01926,0.004532,Changing degree to B.Com changed the score from 0.3886 to 0.3931 (delta +0.0045). semantic made the largest positive weighted contribution change (+0.0045).
R003,JOB002,R003_CF_COURSE,course,Management,0.0,1.0,0.0,0.0,0.651528,0.388595,0.0,1.0,0.0,0.0,0.65973,0.390525,0.00193,Company_Creative_A,Marketing,Management,Unrelated,Unrelated,Company: Company_Creative_A; Preferred course: Fine Arts; Accepted courses: Fine Arts|Graphic Design|Visual Arts|Arts|Design; Preferred degree: Bachelor's Degree; Accepted degrees: Bachelor's Degree|B.A.|BFA|Diploma; Minimum experience: 1 years,No Relevant Improvement,semantic,0.008202,0.00193,Changing course to Management changed the score from 0.3886 to 0.3905 (delta +0.0019). semantic made the largest positive weighted contribution change (+0.0019).
R003,JOB002,R003_CF_AGE,age,33,0.0,1.0,0.0,0.0,0.651528,0.388595,0.0,1.0,0.0,0.0,0.65406,0.389191,0.000596,Company_Creative_A,28,33,,,Company: Company_Creative_A; Preferred course: Fine Arts; Accepted courses: Fine Arts|Graphic Design|Visual Arts|Arts|Design; Preferred degree: Bachelor's Degree; Accepted degrees: Bachelor's Degree|B.A.|BFA|Diploma; Minimum experience: 1 years,Not Supported,semantic,0.002532,0.000596,Changing age to 33 changed the score from 0.3886 to 0.3892 (delta +0.0006). semantic made the largest positive weighted contribution change (+0.0006).
R003,JOB002,R003_CF_EXPERIENCE,experience,48,0.0,1.0,0.0,0.0,0.651528,0.388595,0.0,1.0,0.0,0.0,0.65578,0.389595,0.001,Company_Creative_A,36,48,,,Company: Company_Creative_A; Preferred course: Fine Arts; Accepted courses: Fine Arts|Graphic Design|Visual Arts|Arts|Design; Preferred degree: Bachelor's Degree; Accepted degrees: Bachelor's Degree|B.A.|BFA|Diploma; Minimum experience: 1 years,Potentially Beneficial,semantic,0.004252,0.001,Changing experience to 48 changed the score from 0.3886 to 0.3896 (delta +0.0010). semantic made the largest positive weighted contribution change (+0.0010).
R004,JOB008,R004_CF_NAME,name,Aditya Verma,0.25,1.0,0.8,0.0,0.752759,0.641826,0.25,1.0,0.8,0.0,0.748309,0.640779,-0.001047,Company_Data_A,Ishita Chopra,Aditya Verma,,,Company: Company_Data_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Applications; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|MCA|M.Sc; Minimum experience: 2 years,Not Supported,semantic,-0.00445,-0.001047,Changing name to Aditya Verma changed the score from 0.6418 to 0.6408 (delta -0.0010). semantic made the largest negative weighted contribution change (-0.0010).
R004,JOB008,R004_CF_COLLEGE,college,Indian Institute of Technology Delhi,0.25,1.0,0.8,0.0,0.752759,0.641826,0.25,1.0,0.8,0.0,0.755246,0.642411,0.000585,Company_Data_A,Indian Institute of Technology Roorkee,Indian Institute of Technology Delhi,,,Company: Company_Data_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Applications; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|MCA|M.Sc; Minimum experience: 2 years,Not Supported,semantic,0.002487,0.000585,Changing college to Indian Institute of Technology Delhi changed the score from 0.6418 to 0.6424 (delta +0.0006). semantic made the largest positive weighted contribution change (+0.0006).
R004,JOB008,R004_CF_CITY,city,Chennai,0.25,1.0,0.8,0.0,0.752759,0.641826,0.25,1.0,0.8,0.0,0.754025,0.642124,0.000298,Company_Data_A,Mumbai,Chennai,,,Company: Company_Data_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Applications; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|MCA|M.Sc; Minimum experience: 2 years,Not Supported,semantic,0.001266,0.000298,Changing city to Chennai changed the score from 0.6418 to 0.6421 (delta +0.0003). semantic made the largest positive weighted contribution change (+0.0003).
R004,JOB008,R004_CF_DEGREE,degree,B.Tech,0.25,1.0,0.8,0.0,0.752759,0.641826,0.25,1.0,0.9,0.0,0.752759,0.659473,0.017647,Company_Data_A,B.E.,B.Tech,,,Company: Company_Data_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Applications; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|MCA|M.Sc; Minimum experience: 2 years,Accepted,education_course,0.1,0.017647,Changing degree to B.Tech changed the score from 0.6418 to 0.6595 (delta +0.0176). education_course made the largest positive weighted contribution change (+0.0176).
R004,JOB008,R004_CF_COURSE,course,Civil Engineering,0.25,1.0,0.8,0.0,0.752759,0.641826,0.25,1.0,0.4,0.0,0.752962,0.571285,-0.070541,Company_Data_A,Information Technology,Civil Engineering,Accepted,Unrelated,Company: Company_Data_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Applications; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|MCA|M.Sc; Minimum experience: 2 years,Requirement Not Met,education_course,-0.4,-0.070588,Changing course to Civil Engineering changed the score from 0.6418 to 0.5713 (delta -0.0705). education_course made the largest negative weighted contribution change (-0.0706).
R004,JOB008,R004_CF_AGE,age,44,0.25,1.0,0.8,0.0,0.752759,0.641826,0.25,1.0,0.8,0.0,0.752759,0.641826,0.0,Company_Data_A,39,44,,,Company: Company_Data_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Applications; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|MCA|M.Sc; Minimum experience: 2 years,Not Supported,skills,0.0,0.0,Changing age to 44 changed the score from 0.6418 to 0.6418 (delta +0.0000). No screening component changed.
R004,JOB008,R004_CF_EXPERIENCE,experience,120,0.25,1.0,0.8,0.0,0.752759,0.641826,0.25,1.0,0.8,0.0,0.755319,0.642428,0.000602,Company_Data_A,108,120,,,Company: Company_Data_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Applications; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|MCA|M.Sc; Minimum experience: 2 years,Potentially Beneficial,semantic,0.00256,0.000602,Changing experience to 120 changed the score from 0.6418 to 0.6424 (delta +0.0006). semantic made the largest positive weighted contribution change (+0.0006).
R005,JOB009,R005_CF_NAME,name,Neha Kapoor,0.25,1.0,0.8,0.0,0.820462,0.657756,0.25,1.0,0.8,0.0,0.812754,0.655942,-0.001814,Company_Tech_A,Arjun Sharma,Neha Kapoor,,,Company: Company_Tech_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Engineering; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech; Minimum experience: 2 years,Not Supported,semantic,-0.007708,-0.001814,Changing name to Neha Kapoor changed the score from 0.6578 to 0.6559 (delta -0.0018). semantic made the largest negative weighted contribution change (-0.0018).
R005,JOB009,R005_CF_COLLEGE,college,Indian Institute of Technology Guwahati,0.25,1.0,0.8,0.0,0.820462,0.657756,0.25,1.0,0.8,0.0,0.820945,0.657869,0.000113,Company_Tech_A,Indian Institute of Technology Delhi,Indian Institute of Technology Guwahati,,,Company: Company_Tech_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Engineering; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech; Minimum experience: 2 years,Not Supported,semantic,0.000483,0.000114,Changing college to Indian Institute of Technology Guwahati changed the score from 0.6578 to 0.6579 (delta +0.0001). semantic made the largest positive weighted contribution change (+0.0001).
R005,JOB009,R005_CF_CITY,city,Pune,0.25,1.0,0.8,0.0,0.820462,0.657756,0.25,1.0,0.8,0.0,0.820572,0.657782,2.6e-05,Company_Tech_A,Chennai,Pune,,,Company: Company_Tech_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Engineering; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech; Minimum experience: 2 years,Not Supported,semantic,0.00011,2.6e-05,Changing city to Pune changed the score from 0.6578 to 0.6578 (delta +0.0000). semantic made the largest positive weighted contribution change (+0.0000).
R005,JOB009,R005_CF_DEGREE,degree,B.Sc,0.25,1.0,0.8,0.0,0.820462,0.657756,0.25,1.0,0.4,0.0,0.820462,0.587167,-0.070589,Company_Tech_A,B.E.,B.Sc,,,Company: Company_Tech_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Engineering; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech; Minimum experience: 2 years,Requirement Not Met,education_course,-0.4,-0.070588,Changing degree to B.Sc changed the score from 0.6578 to 0.5872 (delta -0.0706). education_course made the largest negative weighted contribution change (-0.0706).
R005,JOB009,R005_CF_COURSE,course,Computer Science,0.25,1.0,0.8,0.0,0.820462,0.657756,0.25,1.0,0.8,0.0,0.820432,0.657749,-7e-06,Company_Tech_A,Information Technology,Computer Science,Accepted,Unrelated,Company: Company_Tech_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Engineering; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech; Minimum experience: 2 years,Requirement Not Met,semantic,-3e-05,-7e-06,Changing course to Computer Science changed the score from 0.6578 to 0.6577 (delta -0.0000). semantic made the largest negative weighted contribution change (-0.0000).
R005,JOB009,R005_CF_AGE,age,40,0.25,1.0,0.8,0.0,0.820462,0.657756,0.25,1.0,0.8,0.0,0.820462,0.657756,0.0,Company_Tech_A,35,40,,,Company: Company_Tech_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Engineering; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech; Minimum experience: 2 years,Not Supported,skills,0.0,0.0,Changing age to 40 changed the score from 0.6578 to 0.6578 (delta +0.0000). No screening component changed.
R005,JOB009,R005_CF_EXPERIENCE,experience,108,0.25,1.0,0.8,0.0,0.820462,0.657756,0.25,1.0,0.8,0.0,0.820535,0.657773,1.7e-05,Company_Tech_A,96,108,,,Company: Company_Tech_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Engineering; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech; Minimum experience: 2 years,Potentially Beneficial,semantic,7.3e-05,1.7e-05,Changing experience to 108 changed the score from 0.6578 to 0.6578 (delta +0.0000). semantic made the largest positive weighted contribution change (+0.0000).
R006,JOB019,R006_CF_NAME,name,Karan Mehta,0.0,1.0,0.4,0.0,0.697926,0.4701,0.0,1.0,0.4,0.0,0.699873,0.470558,0.000458,Company_Consulting_A,Ananya Iyer,Karan Mehta,,,Company: Company_Consulting_A; Preferred course: Operations Management; Accepted courses: Operations Management|Business Administration; Preferred degree: MBA; Accepted degrees: MBA|BBA|B.Tech|B.E.; Minimum experience: 4 years,Not Supported,semantic,0.001947,0.000458,Changing name to Karan Mehta changed the score from 0.4701 to 0.4706 (delta +0.0005). semantic made the largest positive weighted contribution change (+0.0005).
R006,JOB019,R006_CF_COLLEGE,college,Indian Institute of Technology Madras,0.0,1.0,0.4,0.0,0.697926,0.4701,0.0,1.0,0.4,0.0,0.702192,0.471104,0.001004,Company_Consulting_A,BITS Pilani,Indian Institute of Technology Madras,,,Company: Company_Consulting_A; Preferred course: Operations Management; Accepted courses: Operations Management|Business Administration; Preferred degree: MBA; Accepted degrees: MBA|BBA|B.Tech|B.E.; Minimum experience: 4 years,Not Supported,semantic,0.004266,0.001004,Changing college to Indian Institute of Technology Madras changed the score from 0.4701 to 0.4711 (delta +0.0010). semantic made the largest positive weighted contribution change (+0.0010).
R006,JOB019,R006_CF_CITY,city,Hyderabad,0.0,1.0,0.4,0.0,0.697926,0.4701,0.0,1.0,0.4,0.0,0.7004,0.470682,0.000582,Company_Consulting_A,Mumbai,Hyderabad,,,Company: Company_Consulting_A; Preferred course: Operations Management; Accepted courses: Operations Management|Business Administration; Preferred degree: MBA; Accepted degrees: MBA|BBA|B.Tech|B.E.; Minimum experience: 4 years,Not Supported,semantic,0.002474,0.000582,Changing city to Hyderabad changed the score from 0.4701 to 0.4707 (delta +0.0006). semantic made the largest positive weighted contribution change (+0.0006).
R006,JOB019,R006_CF_DEGREE,degree,LLB,0.0,1.0,0.4,0.0,0.697926,0.4701,0.0,1.0,0.4,0.0,0.700608,0.470731,0.000631,Company_Consulting_A,B.Com,LLB,,,Company: Company_Consulting_A; Preferred course: Operations Management; Accepted courses: Operations Management|Business Administration; Preferred degree: MBA; Accepted degrees: MBA|BBA|B.Tech|B.E.; Minimum experience: 4 years,Not Supported,semantic,0.002682,0.000631,Changing degree to LLB changed the score from 0.4701 to 0.4707 (delta +0.0006). semantic made the largest positive weighted contribution change (+0.0006).
R006,JOB019,R006_CF_COURSE,course,Electronics and Telecommunication,0.0,1.0,0.4,0.0,0.697926,0.4701,0.0,1.0,0.0,0.0,0.701885,0.400443,-0.069657,Company_Consulting_A,Management,Electronics and Telecommunication,Unrelated,Unrelated,Company: Company_Consulting_A; Preferred course: Operations Management; Accepted courses: Operations Management|Business Administration; Preferred degree: MBA; Accepted degrees: MBA|BBA|B.Tech|B.E.; Minimum experience: 4 years,No Relevant Improvement,education_course,-0.4,-0.070588,Changing course to Electronics and Telecommunication changed the score from 0.4701 to 0.4004 (delta -0.0697). education_course made the largest negative weighted contribution change (-0.0706).
R006,JOB019,R006_CF_AGE,age,49,0.0,1.0,0.4,0.0,0.697926,0.4701,0.0,1.0,0.4,0.0,0.697926,0.4701,0.0,Company_Consulting_A,44,49,,,Company: Company_Consulting_A; Preferred course: Operations Management; Accepted courses: Operations Management|Business Administration; Preferred degree: MBA; Accepted degrees: MBA|BBA|B.Tech|B.E.; Minimum experience: 4 years,Not Supported,skills,0.0,0.0,Changing age to 49 changed the score from 0.4701 to 0.4701 (delta +0.0000). No screening component changed.
R006,JOB019,R006_CF_EXPERIENCE,experience,216,0.0,1.0,0.4,0.0,0.697926,0.4701,0.0,1.0,0.4,0.0,0.697926,0.4701,0.0,Company_Consulting_A,204,216,,,Company: Company_Consulting_A; Preferred course: Operations Management; Accepted courses: Operations Management|Business Administration; Preferred degree: MBA; Accepted degrees: MBA|BBA|B.Tech|B.E.; Minimum experience: 4 years,Potentially Beneficial,skills,0.0,0.0,Changing experience to 216 changed the score from 0.4701 to 0.4701 (delta +0.0000). No screening component changed.
R007,JOB006,R007_CF_NAME,name,Vikram Reddy,0.0,1.0,0.5,0.619857,0.696478,0.507274,0.0,1.0,0.5,0.619857,0.704031,0.508785,0.001511,Company_Engineering_A,Aditya Verma,Vikram Reddy,,,Company: Company_Engineering_A; Preferred course: Civil Engineering; Accepted courses: Civil Engineering|Construction Engineering|Structural Engineering; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech; Minimum experience: 1 years,Not Supported,semantic,0.007553,0.001511,Changing name to Vikram Reddy changed the score from 0.5073 to 0.5088 (delta +0.0015). semantic made the largest positive weighted contribution change (+0.0015).
R007,JOB006,R007_CF_COLLEGE,college,Indian Institute of Science Bangalore,0.0,1.0,0.5,0.619857,0.696478,0.507274,0.0,1.0,0.5,0.619857,0.701656,0.50831,0.001036,Company_Engineering_A,Indian Institute of Technology Kanpur,Indian Institute of Science Bangalore,,,Company: Company_Engineering_A; Preferred course: Civil Engineering; Accepted courses: Civil Engineering|Construction Engineering|Structural Engineering; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech; Minimum experience: 1 years,Not Supported,semantic,0.005178,0.001036,Changing college to Indian Institute of Science Bangalore changed the score from 0.5073 to 0.5083 (delta +0.0010). semantic made the largest positive weighted contribution change (+0.0010).
R007,JOB006,R007_CF_CITY,city,Ahmedabad,0.0,1.0,0.5,0.619857,0.696478,0.507274,0.0,1.0,0.5,0.619857,0.699812,0.507941,0.000667,Company_Engineering_A,Pune,Ahmedabad,,,Company: Company_Engineering_A; Preferred course: Civil Engineering; Accepted courses: Civil Engineering|Construction Engineering|Structural Engineering; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech; Minimum experience: 1 years,Not Supported,semantic,0.003334,0.000667,Changing city to Ahmedabad changed the score from 0.5073 to 0.5079 (delta +0.0007). semantic made the largest positive weighted contribution change (+0.0007).
R007,JOB006,R007_CF_DEGREE,degree,BBA,0.0,1.0,0.5,0.619857,0.696478,0.507274,0.0,1.0,0.5,0.619857,0.697016,0.507382,0.000108,Company_Engineering_A,Diploma,BBA,,,Company: Company_Engineering_A; Preferred course: Civil Engineering; Accepted courses: Civil Engineering|Construction Engineering|Structural Engineering; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech; Minimum experience: 1 years,Not Supported,semantic,0.000538,0.000108,Changing degree to BBA changed the score from 0.5073 to 0.5074 (delta +0.0001). semantic made the largest positive weighted contribution change (+0.0001).
