resume_id,job_id,variant_id,proxy_type,proxy_value,base_score,variant_score,score_delta,abs_delta,direction,context_classification,magnitude_category,audit_signal,primary_changed_component,high_magnitude_direct_proxy,any_decision_flip,flip_direction,base_selected_0.55,variant_selected_0.55,decision_flip_0.55,base_selected_0.6,variant_selected_0.6,decision_flip_0.6,base_selected_0.65,variant_selected_0.65,decision_flip_0.65
R008,JOB011,R008_CF_CITY,city,Bangalore,0.644699,0.644138,-0.000561,0.000561,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,False,False,False
R008,JOB011,R008_CF_AGE,age,34,0.644699,0.644699,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,True,True,False,True,True,False,False,False,False
R009,JOB011,R009_CF_NAME,name,Rohan Gupta,0.575675,0.575386,-0.000289,0.000289,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R009,JOB011,R009_CF_COLLEGE,college,NIT Tiruchirappalli,0.575675,0.575942,0.000267,0.000267,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R009,JOB011,R009_CF_CITY,city,Bangalore,0.575675,0.576224,0.000549,0.000549,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R009,JOB011,R009_CF_AGE,age,31,0.575675,0.575675,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R010,JOB017,R010_CF_NAME,name,Priya Nair,0.557865,0.54865,-0.009215,0.009215,Score Decreased,Not Supported,Very High,Potentially Unsupported Proxy — Very High,semantic,True,True,Negative flip @ 0.55,True,False,True,False,False,False,False,False,False
R010,JOB017,R010_CF_COLLEGE,college,Indian Institute of Technology Bombay,0.557865,0.558144,0.000279,0.000279,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R010,JOB017,R010_CF_CITY,city,Mumbai,0.557865,0.556703,-0.001162,0.001162,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R010,JOB017,R010_CF_AGE,age,31,0.557865,0.559757,0.001892,0.001892,Score Increased,Not Supported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R011,JOB006,R011_CF_NAME,name,Ishita Chopra,0.54628,0.544994,-0.001286,0.001286,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R011,JOB006,R011_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.54628,0.547735,0.001455,0.001455,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R011,JOB006,R011_CF_CITY,city,Chennai,0.54628,0.546069,-0.000211,0.000211,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R011,JOB006,R011_CF_AGE,age,33,0.54628,0.54628,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R012,JOB010,R012_CF_NAME,name,Arjun Sharma,0.403796,0.410254,0.006458,0.006458,Score Increased,Not Supported,Very High,Potentially Unsupported Proxy — Very High,semantic,True,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R012,JOB010,R012_CF_COLLEGE,college,BITS Pilani,0.403796,0.402473,-0.001323,0.001323,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R012,JOB010,R012_CF_CITY,city,Pune,0.403796,0.402255,-0.001541,0.001541,Score Decreased,Not Supported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R012,JOB010,R012_CF_AGE,age,35,0.403796,0.409844,0.006048,0.006048,Score Increased,Not Supported,Very High,Potentially Unsupported Proxy — Very High,semantic,True,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R013,JOB014,R013_CF_NAME,name,Arjun Sharma,0.475844,0.480446,0.004602,0.004602,Score Increased,Not Supported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R013,JOB014,R013_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.475844,0.475793,-5.1e-05,5.1e-05,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R013,JOB014,R013_CF_CITY,city,Hyderabad,0.475844,0.476031,0.000187,0.000187,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R013,JOB014,R013_CF_AGE,age,39,0.475844,0.475844,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R014,JOB016,R014_CF_NAME,name,Neha Kapoor,0.57649,0.575077,-0.001413,0.001413,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R014,JOB016,R014_CF_COLLEGE,college,Indian Institute of Technology Delhi,0.57649,0.57623,-0.00026,0.00026,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R014,JOB016,R014_CF_CITY,city,Ahmedabad,0.57649,0.576166,-0.000324,0.000324,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R014,JOB016,R014_CF_AGE,age,33,0.57649,0.57649,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R015,JOB004,R015_CF_NAME,name,Neha Kapoor,0.650971,0.64832,-0.002651,0.002651,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,True,Negative flip @ 0.65,True,True,False,True,True,False,True,False,True
R015,JOB004,R015_CF_COLLEGE,college,Indian Institute of Technology Madras,0.650971,0.650165,-0.000806,0.000806,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,True,True,False
R015,JOB004,R015_CF_CITY,city,Bangalore,0.650971,0.650513,-0.000458,0.000458,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,True,True,False
R015,JOB004,R015_CF_AGE,age,29,0.650971,0.650971,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,True,True,False,True,True,False,True,True,False
R016,JOB010,R016_CF_NAME,name,Vikram Reddy,0.512976,0.512057,-0.000919,0.000919,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R016,JOB010,R016_CF_COLLEGE,college,Indian Institute of Technology Madras,0.512976,0.511718,-0.001258,0.001258,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R016,JOB010,R016_CF_CITY,city,Bangalore,0.512976,0.512266,-0.00071,0.00071,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R016,JOB010,R016_CF_AGE,age,36,0.512976,0.512976,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R017,JOB015,R017_CF_NAME,name,Divya Rao,0.476243,0.478251,0.002008,0.002008,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R017,JOB015,R017_CF_COLLEGE,college,Indian Institute of Technology Kharagpur,0.476243,0.476659,0.000416,0.000416,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R017,JOB015,R017_CF_CITY,city,Delhi,0.476243,0.475508,-0.000735,0.000735,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R017,JOB015,R017_CF_AGE,age,36,0.476243,0.476243,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R018,JOB008,R018_CF_NAME,name,Rohan Gupta,0.486983,0.487294,0.000311,0.000311,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R018,JOB008,R018_CF_COLLEGE,college,NIT Tiruchirappalli,0.486983,0.486107,-0.000876,0.000876,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R018,JOB008,R018_CF_CITY,city,Mumbai,0.486983,0.485355,-0.001628,0.001628,Score Decreased,Not Supported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R018,JOB008,R018_CF_AGE,age,35,0.486983,0.487771,0.000788,0.000788,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R019,JOB005,R019_CF_NAME,name,Ananya Iyer,0.490042,0.492049,0.002007,0.002007,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R019,JOB005,R019_CF_COLLEGE,college,Indian Institute of Technology Bombay,0.490042,0.49042,0.000378,0.000378,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R019,JOB005,R019_CF_CITY,city,Pune,0.490042,0.489751,-0.000291,0.000291,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R019,JOB005,R019_CF_AGE,age,30,0.490042,0.490042,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R020,JOB006,R020_CF_NAME,name,Ananya Iyer,0.652483,0.652435,-4.8e-05,4.8e-05,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,True,True,False
R020,JOB006,R020_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.652483,0.649392,-0.003091,0.003091,Score Decreased,Not Supported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,False,True,Negative flip @ 0.65,True,True,False,True,True,False,True,False,True
R020,JOB006,R020_CF_CITY,city,Hyderabad,0.652483,0.648974,-0.003509,0.003509,Score Decreased,Not Supported,High,Potentially Unsupported Proxy — High,semantic,True,True,Negative flip @ 0.65,True,True,False,True,True,False,True,False,True
R020,JOB006,R020_CF_AGE,age,29,0.652483,0.653232,0.000749,0.000749,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,True,True,False
R021,JOB021,R021_CF_NAME,name,Ishita Chopra,0.417617,0.422005,0.004388,0.004388,Score Increased,Not Supported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R021,JOB021,R021_CF_COLLEGE,college,BITS Pilani,0.417617,0.419891,0.002274,0.002274,Score Increased,Not Supported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R021,JOB021,R021_CF_CITY,city,Ahmedabad,0.417617,0.416218,-0.001399,0.001399,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R021,JOB021,R021_CF_AGE,age,39,0.417617,0.417617,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R022,JOB001,R022_CF_NAME,name,Arjun Sharma,0.484147,0.482012,-0.002135,0.002135,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R022,JOB001,R022_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.484147,0.484259,0.000112,0.000112,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R022,JOB001,R022_CF_CITY,city,Kolkata,0.484147,0.48376,-0.000387,0.000387,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R022,JOB001,R022_CF_AGE,age,46,0.484147,0.484147,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R023,JOB020,R023_CF_NAME,name,Neha Kapoor,0.555231,0.550188,-0.005043,0.005043,Score Decreased,Not Supported,High,Potentially Unsupported Proxy — High,semantic,True,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R023,JOB020,R023_CF_COLLEGE,college,Indian Institute of Technology Guwahati,0.555231,0.546842,-0.008389,0.008389,Score Decreased,Not Supported,Very High,Potentially Unsupported Proxy — Very High,semantic,True,True,Negative flip @ 0.55,True,False,True,False,False,False,False,False,False
R023,JOB020,R023_CF_CITY,city,Delhi,0.555231,0.548703,-0.006528,0.006528,Score Decreased,Not Supported,Very High,Potentially Unsupported Proxy — Very High,semantic,True,True,Negative flip @ 0.55,True,False,True,False,False,False,False,False,False
R023,JOB020,R023_CF_AGE,age,38,0.555231,0.554402,-0.000829,0.000829,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R024,JOB022,R024_CF_NAME,name,Neha Kapoor,0.488924,0.487518,-0.001406,0.001406,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R024,JOB022,R024_CF_COLLEGE,college,Indian Institute of Technology Madras,0.488924,0.488203,-0.000721,0.000721,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R024,JOB022,R024_CF_CITY,city,Mumbai,0.488924,0.488833,-9.1e-05,9.1e-05,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R024,JOB022,R024_CF_AGE,age,34,0.488924,0.488924,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R025,JOB006,R025_CF_NAME,name,Vikram Reddy,0.515157,0.517544,0.002387,0.002387,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R025,JOB006,R025_CF_COLLEGE,college,Indian Institute of Science Bangalore,0.515157,0.515378,0.000221,0.000221,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R025,JOB006,R025_CF_CITY,city,Mumbai,0.515157,0.515342,0.000185,0.000185,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R025,JOB006,R025_CF_AGE,age,35,0.515157,0.515157,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R026,JOB015,R026_CF_NAME,name,Divya Rao,0.421069,0.420106,-0.000963,0.000963,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R026,JOB015,R026_CF_COLLEGE,college,Indian Institute of Technology Kharagpur,0.421069,0.420682,-0.000387,0.000387,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R026,JOB015,R026_CF_CITY,city,Pune,0.421069,0.420381,-0.000688,0.000688,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R026,JOB015,R026_CF_AGE,age,39,0.421069,0.420508,-0.000561,0.000561,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R027,JOB005,R027_CF_NAME,name,Rohan Gupta,0.537404,0.538754,0.00135,0.00135,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R027,JOB005,R027_CF_COLLEGE,college,NIT Tiruchirappalli,0.537404,0.536633,-0.000771,0.000771,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R027,JOB005,R027_CF_CITY,city,Hyderabad,0.537404,0.536883,-0.000521,0.000521,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R027,JOB005,R027_CF_AGE,age,38,0.537404,0.538328,0.000924,0.000924,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R028,JOB006,R028_CF_NAME,name,Ananya Iyer,0.543176,0.547587,0.004411,0.004411,Score Increased,Not Supported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R028,JOB006,R028_CF_COLLEGE,college,Indian Institute of Technology Bombay,0.543176,0.543015,-0.000161,0.000161,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R028,JOB006,R028_CF_CITY,city,Ahmedabad,0.543176,0.543177,1e-06,1e-06,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R028,JOB006,R028_CF_AGE,age,35,0.543176,0.543176,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R029,JOB021,R029_CF_NAME,name,Ishita Chopra,0.566342,0.568343,0.002001,0.002001,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R029,JOB021,R029_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.566342,0.569978,0.003636,0.003636,Score Increased,Not Supported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R029,JOB021,R029_CF_CITY,city,Kolkata,0.566342,0.568595,0.002253,0.002253,Score Increased,Not Supported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,False,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R029,JOB021,R029_CF_AGE,age,35,0.566342,0.572117,0.005775,0.005775,Score Increased,Not Supported,Very High,Potentially Unsupported Proxy — Very High,semantic,True,False,No Decision Flip,True,True,False,False,False,False,False,False,False
R030,JOB009,R030_CF_NAME,name,Ishita Chopra,0.657458,0.656872,-0.000586,0.000586,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,True,True,False
R030,JOB009,R030_CF_COLLEGE,college,BITS Pilani,0.657458,0.655959,-0.001499,0.001499,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,True,True,False
R030,JOB009,R030_CF_CITY,city,Delhi,0.657458,0.657079,-0.000379,0.000379,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,True,True,False
