resume_id,name,college,college_tier,city,city_tier,employment_gap_months,source_category,education_raw,skills_raw,experience_raw,resume_text,degree_raw,primary_degree,course_raw,course_final,skills_extracted,skill_experience,skills_clean,total_experience_months,total_experience_years,relevant_experience_months,career_stage,experience_extraction_method,projects_extracted
R029,Ananya Iyer,Indian Institute of Technology Guwahati,1,Pune,1,0,Python Developer,"June 2013 to June 2016 Diploma Computer science Pune, Maharashtra Aissms June 2016 BE pursuing Computer science Pune, Maharashtra Anantrao pawar college of Engineering & Research centre Python Developer",,company - Cybage Software Pvt. Ltd description - I want to work in organisation as a python developer to utilize my knowledge & To gain more knowledge with our organisation.,"Name: Ananya Iyer
College: Indian Institute of Technology Guwahati
City: Pune
Employment Gap: None

Education Details June 2013 to June 2016 Diploma Computer science Pune, Maharashtra Aissms June 2016 BE pursuing Computer science Pune, Maharashtra Anantrao pawar college of Engineering & Research centre Python Developer Skill Details Company Details company - Cybage Software Pvt. Ltd description - I want to work in organisation as a python developer to utilize my knowledge & To gain more knowledge with our organisation.",B.E.,B.E.,Computer Science,Computer Science,[],{},,0,0.0,0,Unknown,none,[]
R030,Divya Rao,Indian Institute of Technology Madras,1,Kolkata,1,0,DevOps Engineer,"January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University Cloud Operations Architect (DevOps) Cloud Operations Architect (DevOps) - DevOps",Cloud Computing- Exprience - 48 months Shell Scripting- Exprience - 96 months Python- Exprience - 6 months Automation- Exprience - 72 months Solution Architect- Exprience - Less than 1 year months Azure- Exprience - Less than 1 year months AWS- Exprience - Less than 1 year months,"company - DevOps description - Type: DevOps Engineer. Platform: AWS Cloud, Azure Cloud. Services: AWS EC2, RDS, CloudFormation Template, Lambda, Dynamo DB, Cloud Watch, Auto-scaling, Elastic Bean stalk, Appdynamics. Here I manage Tibco Spotfire enterprise & Cloud Product support. Being the only Ops member in India I got a chance to recruit & build entire team of 15 members. I also worked on 4 different Projects / products simultaneously and added the hired members into these products. My responsibilities in this","Name: Divya Rao
College: Indian Institute of Technology Madras
City: Kolkata
Employment Gap: None

Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University Cloud Operations Architect (DevOps) Cloud Operations Architect (DevOps) - DevOps Skill Details Cloud Computing- Exprience - 48 months Shell Scripting- Exprience - 96 months Python- Exprience - 6 months Automation- Exprience - 72 months Solution Architect- Exprience - Less than 1 year months Azure- Exprience - Less than 1 year months AWS- Exprience - Less than 1 year monthsCompany Details company - DevOps description - Type: DevOps Engineer. Platform: AWS Cloud, Azure Cloud. Services: AWS EC2, RDS, CloudFormation Template, Lambda, Dynamo DB, Cloud Watch, Auto-scaling, Elastic Bean stalk, Appdynamics. Here I manage Tibco Spotfire enterprise & Cloud Product support. Being the only Ops member in India I got a chance to recruit & build entire team of 15 members. I also worked on 4 different Projects / products simultaneously and added the hired members into these products. My responsibilities in this",B.E.,B.E.,Information Technology,Information Technology,"['Cloud Computing', 'Shell Scripting', 'Python', 'Automation', 'months Azure', 'months AWS']","{'Cloud Computing': 48, 'Shell Scripting': 96, 'Python': 6, 'Automation': 72, 'Solution Architect': 6, 'Azure': 6, 'AWS': 6}","Cloud Computing, Shell Scripting, Python, Automation, Solution Architect, Azure, AWS",0,0.0,0,Unknown,none,[]
R031,Rohan Gupta,Indian Institute of Technology Kanpur,1,Kolkata,1,0,HR,BA mumbai University HR,Hr Operations- Exprience - Less than 1 year months,company - Mumbai Monorail description -,"Name: Rohan Gupta
College: Indian Institute of Technology Kanpur
City: Kolkata
Employment Gap: None

Education Details BA mumbai University HR Skill Details Hr Operations- Exprience - Less than 1 year monthsCompany Details company - Mumbai Monorail description -",,B.A,Human Resources,Human Resources,['Hr Operations'],{'Hr Operations': 6},Hr Operations,0,0.0,0,Unknown,none,[]
R032,Ishita Chopra,Indian Institute of Technology Roorkee,1,Pune,1,0,Advocate,"January 2001 to January 2003 Master Law Chennai, Tamil Nadu Dr.Ambedkar Law University January 1998 to January 2001 Bachelor Law Chennai, Tamil Nadu Dr. Ambedkar Law University January 1995 to January 1998 Bachelor English Literature Tirunelveli, Tamil Nadu Manonmaniam Sundaranar university Advocate Advocate",,"company - Practiced description - at * High Court of Judicature at Madras, India * City Civil Court, Chennai * Debt Recovery Tribunal, Chennai * Consumer Forums, Chennai * Labour Courts * Small Causes Courts * Rent control Courts * Legal advisor for Christian Institute of Management, Chennai in 2016 * Legal Advisor for Ruah church, Chennai and NESSA Trust till 2018","Name: Ishita Chopra
College: Indian Institute of Technology Roorkee
City: Pune
Employment Gap: None

QUALIFICATION: Introduction to Computer EXTRAEducation Details January 2001 to January 2003 Master Law Chennai, Tamil Nadu Dr.Ambedkar Law University January 1998 to January 2001 Bachelor Law Chennai, Tamil Nadu Dr. Ambedkar Law University January 1995 to January 1998 Bachelor English Literature Tirunelveli, Tamil Nadu Manonmaniam Sundaranar university Advocate Advocate Skill Details Company Details company - Practiced description - at * High Court of Judicature at Madras, India * City Civil Court, Chennai * Debt Recovery Tribunal, Chennai * Consumer Forums, Chennai * Labour Courts * Small Causes Courts * Rent control Courts * Legal advisor for Christian Institute of Management, Chennai in 2016 * Legal Advisor for Ruah church, Chennai and NESSA Trust till 2018",,Bachelor,Law,Law,[],{},,0,0.0,0,Unknown,none,[]
R033,Neha Kapoor,Indian Institute of Technology Kanpur,1,Bangalore,1,0,Sales,MBA Operations Dr.,,,"Name: Neha Kapoor
College: Indian Institute of Technology Kanpur
City: Bangalore
Employment Gap: None

KEY SKILLS: â¢ Planning & Strategizing â¢ Presentation skill â¢ Client relationship â¢ Energy level â¢ Enquiry Generation â¢ Achieving Targets QUALIFICATIONS: A university in marketing or business studies is preferred or a minimum of three years of related experience in sales & marketing sector. Problem - solving and analytical skills to interpret sales performance and market trend information. Proven ability to motivate and lead the sales team. Experience in developing marketing and sales strategies. Excellent oral and written communication skills, plus a good working knowledge of Microsoft Office. Computer KNOWLEDGE â¢ Knowledge of MS Excel, MS Word, MS PowerPoint achievements and Interests â¢ I played Cricket for National Team (Maharashtra Cricket Association) â¢ Played Regional level Cricket Tournament Thee times for School team â¢ Worked as a Sports Secretary in college annual meet. â¢ Worked as a volunteer for road show in POONA College. â¢ Worked as a Group leader for college presentation. â¢ My Interest are Learning various computers languages & Tricks and Techniques of computer and Playing Cricket. personal Information . Education Details MBA Operations Dr.",MBA,MBA,Operations Management,Operations Management,[],{},,0,0.0,0,Unknown,none,[]
R034,Aditya Verma,Indian Institute of Technology Guwahati,1,Delhi,1,0,Java Developer,"June 2015 to February 2018 ME(computers) computer Pune, Maharashtra",,,"Name: Aditya Verma
College: Indian Institute of Technology Guwahati
City: Delhi
Employment Gap: None

Operating Systems Windows XP, 7, 10. Tools/Packages Visual Basic 6.0, UML, Packet Tracer Web technologies Core java, Advance java, JSP, Hibernate, Spring Languages known C, C++ Databases SQL AREAS OF INTEREST â¢ Software Development â¢ Programming Academic Projects Details Diploma: Title: Banking Software Description: We used GSM technology for transaction of message for a security purpose. Environment/OS: Windows XP Technologies used frontend: visual basic 6.0 Backend: oracle 9i BE: Title: Single Sign On Description: We have created ""single sign on"" mechanism for network security. Environment/OS: Windows 7 Technologies Used Frontend: java Backend: Oracle 10g ME: Title: Text Based Graphical Password To Overcome Shoulder Surfing Attacks Description: I have created a most secure password system using Random Printing Algo. Environment/OS: Windows 10 Technologies used: Frontend: Java Backend: MySQL Company: Title: Agriculture Management System Description: Created Web application for Agriculture system and Farming. Environment/OS: Windows 10 Technologies used: Frontend: Hibernate Backend: MySQL Education Details June 2015 to February 2018 ME(computers) computer Pune, Maharashtra",M.E.,M.E.,Computer Science,Computer Science,[],{},,0,0.0,0,Unknown,none,[]
R035,Arjun Sharma,Indian Institute of Technology Delhi,1,Bangalore,1,0,PMO,"MBA HR and Finance Bengaluru, Karnataka RKIMS College Senior Executive PMO Senior Executive PMO Consultant",OPERATIONS- Exprience - 125 months STAFFING- Exprience - 125 months HR- Exprience - 79 months PMO- Exprience - 84 months,company - Ensono LLP description - Roles &Responsiblites Ã Responsible for creation of Structured reports and present the same as to Senior Deliery management as per,"Name: Arjun Sharma
College: Indian Institute of Technology Delhi
City: Bangalore
Employment Gap: None

AREA OF EXPERTISE (PROFILE) Around 10 plus years' proven experience with best global brand Wipro with below expertise:- â¢ PMO â¢ ITIL Management â¢ Process Improvements â¢ Project Process Audits â¢ Planning, Scheduling, Effort/Issue/Risk Tracking â¢ Risk & Issue Management â¢ SLA Management â¢ Workforce (staffing) Resource Management. â¢ Transition â¢ Operations management SKILLS Project Management Tools: CA Clarity, Visio and Office, ITIL -Incident management, Recruitment and workforce management Technical: SAP- HR, MRS, CPRO, Confluence, Microsoft Office, Word, PowerPoint.Excellent knowledge & hands on experience in advanced MS Excel (Knowledge on MS Project, Sharepoint Reporting & Ticket Tool: Xtraction, CA Service Desk, I-Tracker, Education Details MBA HR and Finance Bengaluru, Karnataka RKIMS College Senior Executive PMO Senior Executive PMO Consultant Skill Details OPERATIONS- Exprience - 125 months STAFFING- Exprience - 125 months HR- Exprience - 79 months PMO- Exprience - 84 monthsCompany Details company - Ensono LLP description - Roles &Responsiblites  Ã Responsible for creation of Structured reports and present the same as to Senior Deliery management as per",MBA,MBA,Human Resources,Human Resources,"['OPERATIONS', 'STAFFING', 'HR', 'PMO']","{'Operations': 125, 'STAFFING': 125, 'HR': 79, 'PMO': 84}","Operations, STAFFING, HR, PMO",0,0.0,0,Unknown,none,[]
R036,Rohan Gupta,Indian Institute of Technology Roorkee,1,Delhi,1,0,Electrical Engineering,"B.E Electrical and Electronics Engineering Gulbarga, Karnataka VTU (Vishweshwariya University) HSC Wai, Maharashtra Kisanveer Mahavidyalay WAI Kohlapur University Electrical Engineer Electrical Engineer - REFCON ENGINEERING PVT. LTD",,"company - REFCON ENGINEERING PVT. LTD description - GREENFIELD PROJECT: - Project Status 1) LIBS Braseries, Burkena Faso (Africa) Completed 2) Citrus Processing India, Nanded Completed 3) Carlsberg Group, Myanmar (Yangon) Completed 4) U.B (United Breweries), Mysore. Completed 5) U.B (United Breweries), Hyderabad. Completed 6) Haldiram Foods Pvt. Ltd. Nagpur Completed 7) Tetra-Pak India Pvt. Ltd. Amreli Completed 8) U.B (United Breweries), Rajasthan Completed â Handling Activities in Project: - â¢ Preparing","Name: Rohan Gupta
College: Indian Institute of Technology Roorkee
City: Delhi
Employment Gap: None

â¢ Achievement oriented with people management skills and an ability to manage change with ease. â¢ Proven strength in problem solving, coordination and analysis. â¢ Strong communication, interpersonal, learning and organizing skills matched with the ability to manage stress, time and people effectively. â¢ Able to handle multiple task & projects simultaneously. â¢ Willing to travel & relocate.Education Details B.E Electrical and Electronics Engineering Gulbarga, Karnataka VTU (Vishweshwariya University) HSC Wai, Maharashtra Kisanveer Mahavidyalay WAI Kohlapur University Electrical Engineer Electrical Engineer - REFCON ENGINEERING PVT. LTD Skill Details Company Details company - REFCON ENGINEERING PVT. LTD description - GREENFIELD PROJECT: - Project Status 1) LIBS Braseries, Burkena Faso (Africa) Completed 2) Citrus Processing India, Nanded Completed 3) Carlsberg Group, Myanmar (Yangon) Completed 4) U.B (United Breweries), Mysore. Completed 5) U.B (United Breweries), Hyderabad. Completed 6) Haldiram Foods Pvt. Ltd. Nagpur Completed 7) Tetra-Pak India Pvt. Ltd. Amreli Completed 8) U.B (United Breweries), Rajasthan Completed â Handling Activities in Project: - â¢ Preparing",B.E.,B.E.,Electrical and Electronics Engineering,Electrical and Electronics Engineering,[],{},,0,0.0,0,Unknown,none,[]
R037,Karan Mehta,Indian Institute of Technology Roorkee,1,Ahmedabad,1,0,DevOps Engineer,"May 2016 B.E. Savitribai Phule Pune, Maharashtra Pune University March 2010 S.S.C Maharashtra Board DevOps Engineer",C- Exprience - 6 months C++- Exprience - 6 months Sql- Exprience - 6 months Pl/Sql- Exprience - 6 months Core Java- Exprience - 6 months Javascript- Exprience - Less than 1 year months HTML- Exprience - Less than 1 year months CSS-,,"Name: Karan Mehta
College: Indian Institute of Technology Roorkee
City: Ahmedabad
Employment Gap: None

Software Proficiency: â¢ Languages: Basics of C, SQL, PL/SQL,JAVA,JAVAEE,Javascript,HTML,CSS,jquery,mysql,Spring ,Hibernate. â¢ Software Tools: Xillinx, Modelsim, Matlab, Multisim. â¢ Operating Systems: Windows XP, Vista, 07, 08, Ubuntu. Project Profile: B.E. Project FPGA Implementation of Team Size: 4. Role: Programmer. AES Algorithm AES is Advanced Encryption Standard which is used in cryptography by which we can protect our data. It encrypted by a Secret Key. T.E. project Sorting Robot. Team Size: 3. Role: Mechanism designer. The TCS 230 sensor sorts the RGB color balls according to their color. Diploma Project RFID Based Student Team Size: 4. Role: Interface. Attendance System Using GSM. In this student show RFID card of his own and then message send via GSM to their parent that his ward is present.Education Details May 2016 B.E. Savitribai Phule Pune, Maharashtra Pune University March 2010 S.S.C Maharashtra Board DevOps Engineer Skill Details C- Exprience - 6 months C++- Exprience - 6 months Sql- Exprience - 6 months Pl/Sql- Exprience - 6 months Core Java- Exprience - 6 months Javascript- Exprience - Less than 1 year months HTML- Exprience - Less than 1 year months CSS-",B.E.,B.E.,,Unknown,"['C', 'C++', 'Sql', 'Pl/Sql', 'Core Java', 'months HTML']","{'C': 6, 'C++': 6, 'SQL': 6, 'Pl/Sql': 6, 'Core Java': 6, 'JavaScript': 6, 'HTML': 6}","C, C++, SQL, Pl/Sql, Core Java, JavaScript, HTML",0,0.0,0,Unknown,none,[]
R038,Aditya Verma,Indian Institute of Science Bangalore,1,Mumbai,1,0,Network Security Engineer,,"â¢â¢Cisco Certified Network Associates (CCNA): - â¢ Basic knowledge of networking such as Ethernet mediums, ethernet communication, types of Ethernet communication devices etc. â¢ IPv4 (Subnetting, Supernetting) â¢ Basic configuration of Routing, Switching, Access lists, Network Address Translation (NAT), Virtual LANs (VLANs) etc â¢â¢Cisco Certified Network Associates (CCNA-Security): - â¢ Basic security goals and need. â¢ Different types of attacks like access attacks, reconnaissance strategies etc. â¢ Basic configuration of firewalls. â¢ Mitigation techniques such as access control lists, private VLANs, VLAN hopping, IP source guard, DHCP snooping, Authentication, Authorization & Accounting (AAA), IP Security (IPsec) etc. â¢â¢Cisco Certified Network Professional (CCNP-Routing, Switching & MPLS): - â¢ Routing-Configuration and concept of EIGRP, OSPF and BGP. â¢ Switching-Virtual LANs (VLANs), spanning tree protocol (STP), queuing etc. â¢ MPLS (Multi-Protocol Label Switching) -Basic idea about working, types and modes of MPLS, penultimate hopping in mpls etc. â¢â¢Cisco Certified Network Professional Security (ASA Module): - â¢ Knowledge of Control",,"Name: Aditya Verma
College: Indian Institute of Science Bangalore
City: Mumbai
Employment Gap: None

Skill Set â¢â¢Cisco Certified Network Associates (CCNA): - â¢ Basic knowledge of networking such as Ethernet mediums, ethernet communication, types of Ethernet communication devices etc. â¢ IPv4 (Subnetting, Supernetting) â¢ Basic configuration of Routing, Switching, Access lists, Network Address Translation (NAT), Virtual LANs (VLANs) etc â¢â¢Cisco Certified Network Associates (CCNA-Security): - â¢ Basic security goals and need. â¢ Different types of attacks like access attacks, reconnaissance strategies etc. â¢ Basic configuration of firewalls. â¢ Mitigation techniques such as access control lists, private VLANs, VLAN hopping, IP source guard, DHCP snooping, Authentication, Authorization & Accounting (AAA), IP Security (IPsec) etc. â¢â¢Cisco Certified Network Professional (CCNP-Routing, Switching & MPLS): - â¢ Routing-Configuration and concept of EIGRP, OSPF and BGP. â¢ Switching-Virtual LANs (VLANs), spanning tree protocol (STP), queuing etc. â¢ MPLS (Multi-Protocol Label Switching) -Basic idea about working, types and modes of MPLS, penultimate hopping in mpls etc. â¢â¢Cisco Certified Network Professional Security (ASA Module): - â¢ Knowledge of Control",,,,Unknown,[],{},,0,0.0,0,Unknown,none,[]
R039,Priya Nair,BITS Pilani,1,Kolkata,1,0,Hadoop,"B.E. Electronics & Communication Indore, Madhya Pradesh Medi-caps Institute of Technology & Management Hadoop developer hadoop,hive,sqoop,flume,pig,mapreduce,python,impala,spark,scala,sql,unix.",APACHE HADOOP SQOOP- Exprience - 31 months Hadoop- Exprience - 31 months HADOOP- Exprience - 31 months Hive- Exprience - 31 months SQOOP- Exprience - 31 months python- Exprience - Less than 1 year months hdfs- Exprience - Less than 1 year months unix- Exprience - Less than 1 year months impala- Exprience - Less than 1 year months pig- Exprience - Less than 1 year months unravel- Exprience - Less than 1 year,,"Name: Priya Nair
College: BITS Pilani
City: Kolkata
Employment Gap: None

Technical Skill Set: Programming Languages Apache Hadoop, Python, shell scripting, SQL Technologies Hive, Pig, Sqoop, Flume, Oozie, Impala, hdfs Tools Dataiku, Unravel, Cloudera, Putty, HUE, Cloudera Manager, Eclipse, Resource Manager Initial Learning Program: Tata Consultancy Services: June 2015 to August 2015 Description: This is a learning program conducted by TCS for the newly joined employees, to accomplish them to learn the working standard of the organization. During this period employee are groomed with various technical as well as ethical aspects. Education Details B.E. Electronics & Communication Indore, Madhya Pradesh Medi-caps Institute of Technology & Management Hadoop developer hadoop,hive,sqoop,flume,pig,mapreduce,python,impala,spark,scala,sql,unix. Skill Details APACHE HADOOP SQOOP- Exprience - 31 months Hadoop- Exprience - 31 months HADOOP- Exprience - 31 months Hive- Exprience - 31 months SQOOP- Exprience - 31 months python- Exprience - Less than 1 year months hdfs- Exprience - Less than 1 year months unix- Exprience - Less than 1 year months impala- Exprience - Less than 1 year months pig- Exprience - Less than 1 year months unravel- Exprience - Less than 1 year",B.E.,B.E.,Electronics & Communication,Electronics & Communication,"['APACHE HADOOP SQOOP', 'Hadoop', 'Hive', 'SQOOP', 'months hdfs', 'months unix', 'months impala', 'months pig', 'months unravel']","{'Apache Hadoop / Sqoop': 31, 'Hadoop': 31, 'Hive': 31, 'Sqoop': 31, 'Python': 6, 'HDFS': 6, 'unix': 6, 'impala': 6, 'pig': 6, 'unravel': 6}","Apache Hadoop / Sqoop, Hadoop, Hive, Sqoop, Python, HDFS, unix, impala, pig, unravel",0,0.0,0,Unknown,none,[]
R040,Neha Kapoor,Indian Institute of Technology Delhi,1,Kolkata,1,0,Java Developer,"August 2014 to July 2017 MCA Computer Sciene Amravati, Maharashtra SGBAU, Amaravti Java Web Developer","Core Java,JSP,Servlet,Spring,Hibernate,Struts,Javascript- Exprience - 6 months","company - Salcluster Technologies description - 1. I am Java web developer 2. Jsp , servlet, Sprinng MVC Technologies","Name: Neha Kapoor
College: Indian Institute of Technology Delhi
City: Kolkata
Employment Gap: None

SKILLS: - 1) Team leading 2) Self-motivated 3) Hard working â Strengths: Ready to learn new Programming Languages, Punctual, Discipline, Respectfulness. DECLARATION:- I hereby inform you that all the statement made above are true with the best of my knowledge and belief. Education Details August 2014 to July 2017 MCA Computer Sciene Amravati, Maharashtra SGBAU, Amaravti Java Web Developer Skill Details Core Java,JSP,Servlet,Spring,Hibernate,Struts,Javascript- Exprience - 6 monthsCompany Details company - Salcluster Technologies description - 1. I am Java web developer 2. Jsp , servlet, Sprinng MVC Technologies",,MCA,Computer Science,Computer Science,"['Core Java,JSP,Servlet,Spring,Hibernate,Struts,Javascript']","{'Core Java,JSP,Servlet,Spring,Hibernate,Struts,Javascript': 6}","Core Java,JSP,Servlet,Spring,Hibernate,Struts,Javascript",0,0.0,0,Unknown,none,[]
R041,Karan Mehta,Indian Institute of Technology Madras,1,Ahmedabad,1,0,Java Developer,"January 2013 Master of Engineering Information Technology Pune, Maharashtra M.I.T January 2005 Bachelor of Engineering Information Technology Pusad, Maharashtra Amravati University January 2001 Pusad, Maharashtra P. N. Junior College January 1999 S.S.C Pusad, Maharashtra K.D. High-School Java Developer Java Developer - Maxgen Technologies",,"company - Maxgen Technologies description - Currently working in Infrasoft Technologies, Andheri as a Java Developer. company - MIS Generation of Tata Sky and Tata Power description - COURSES DONE: Android -Mobile App Development, Technologies in Java-Core Java, Advance Java, JSF, Hibernate, Spring at NIIT in 2015-16. ANDROID PROJECT: Location Detector of Computing and Mobile Devices. (Android) ME PROJECT: Data Deduplication. My projects works to reduce redundant data from the system and free up the memory. It stores unique copy of data and for more location with same data with the help of pointers can access the data. (Java) SUBJECTS TAUGHT: C language, Core Java, Object Oriented Programming (OOT/C++), Database, PPS (Programming and problem solving), AD (Advance Database), IAS (Information","Name: Karan Mehta
College: Indian Institute of Technology Madras
City: Ahmedabad
Employment Gap: None

Education Details January 2013 Master of Engineering Information Technology Pune, Maharashtra M.I.T January 2005 Bachelor of Engineering Information Technology Pusad, Maharashtra Amravati University January 2001 Pusad, Maharashtra P. N. Junior College January 1999 S.S.C Pusad, Maharashtra K.D. High-School Java Developer Java Developer - Maxgen Technologies Skill Details Company Details company - Maxgen Technologies description - Currently working in Infrasoft Technologies, Andheri as a Java Developer. company - MIS Generation of Tata Sky and Tata Power description - COURSES DONE: Android -Mobile App Development, Technologies in Java-Core Java, Advance Java, JSF, Hibernate, Spring at NIIT in 2015-16. ANDROID PROJECT: Location Detector of Computing and Mobile Devices. (Android) ME PROJECT: Data Deduplication. My projects works to reduce redundant data from the system and free up the memory. It stores unique copy of data and for more location with same data with the help of pointers can access the data. (Java) SUBJECTS TAUGHT: C language, Core Java, Object Oriented Programming (OOT/C++), Database, PPS (Programming and problem solving), AD (Advance Database), IAS (Information",M.E.,M.E.,Information Technology,Information Technology,[],{},,0,0.0,0,Unknown,none,[]
R042,Arjun Sharma,Indian Institute of Science Bangalore,1,Bangalore,1,0,Testing,"January 2012 to January 2016 Bachelors of Engineering Engineering Pune, Maharashtra Pune University January 2012 Higher Secondary Certificate Nashik, Maharashtra SND College of Engineering and Research Center January 2010 Secondary School Certificate Yeola, Maharashtra Swami Muktanand Jr. College HSC Maharashtra State Board SSC Maharashtra State Bard BE Rajapur, Uttar Pradesh Madhyamik Vidya Mandir Rajapur Testing and Quality Control Engineer Testing and Quality Control Engineer - M/S Rakesh Transformer Industries Pvt. Ltd",,"company - M/S Rakesh Transformer Industries Pvt. Ltd description - Responsibilities: â¢ To conduct Routine test, Type Test (Temperature Rise Test), Special Test on Transformers as per IS & IEC up to - 10 MVA / 33 KV Class & preparing of its test reports. â¢ Routine tests, Type tests and Special tests as per IS 2026, IS 1180, IS 11171/IEC-60076- test Manual/inspection plans of Power Transformers,","Name: Arjun Sharma
College: Indian Institute of Science Bangalore
City: Bangalore
Employment Gap: None

PERSONAL SKILLS â¢ Quick learner, â¢ Eagerness to learn new things, â¢ Competitive attitude, â¢ Good leadership qualities, â¢ Ability to deal with people diplomatically. PERSONAL DOSSIER Fathers Name: Dhanraj WaghEducation Details January 2012 to January 2016 Bachelors of Engineering Engineering Pune, Maharashtra Pune University January 2012 Higher Secondary Certificate Nashik, Maharashtra SND College of Engineering and Research Center January 2010 Secondary School Certificate Yeola, Maharashtra Swami Muktanand Jr. College HSC Maharashtra State Board SSC Maharashtra State Bard BE Rajapur, Uttar Pradesh Madhyamik Vidya Mandir Rajapur Testing and Quality Control Engineer Testing and Quality Control Engineer - M/S Rakesh Transformer Industries Pvt. Ltd Skill Details Company Details company - M/S Rakesh Transformer Industries Pvt. Ltd description - Responsibilities: â¢ To conduct Routine test, Type Test (Temperature Rise Test), Special Test on Transformers as per IS & IEC up to - 10 MVA / 33 KV Class & preparing of its test reports. â¢ Routine tests, Type tests and Special tests as per IS 2026, IS 1180, IS 11171/IEC-60076- test Manual/inspection plans of Power Transformers,",B.E.,B.E.,,Unknown,[],{},,0,0.0,0,Unknown,none,[]
R043,Aditya Verma,Indian Institute of Technology Delhi,1,Kolkata,1,0,Web Designing,"September 2015 Bachelor of Engineer Information technology Nagpur, Maharashtra Nagpur University May 2011 HSC Secondary & Higher Secondary State Board of Secondary June 2009 SSC Secondary & Higher Secondary Maharashtra State Board of Secondary Web and Graphics Designer Web and Graphics Designer - Virtuous Media Point, Pune",BOOTSTRAP- Exprience - 24 months HTML5- Exprience - 24 months JAVASCRIPT- Exprience - 24 months jQuery- Exprience - 24 months COREL DRAW- Exprience - 24 months Adobe Photoshop- Exprience - 24 months Adobe Illustrator- Exprience - 12 months CSS3- Exprience - 24 months,"company - Virtuous Media Point description - company - CNC Web World description - Internship Program: At e-sense IT Solution pvt.ltd. Nagpur as a Web Designing and Developement. * Presented in Project Competition in Innovesta 15 of Priyadarshini Indira Gandhi College of Engineering, Nagpur. * Presented in National Level","Name: Aditya Verma
College: Indian Institute of Technology Delhi
City: Kolkata
Employment Gap: None

IT SKILLS Languages: C (Basic), JAVA (Basic) Web Technologies: HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Draw, Photoshop, Illustrator Databases: MySQL5.0 IDE & Tools: Sublime Text, Notepad Operating Systems: Windows XP, Windows 7Education Details September 2015 Bachelor of Engineer Information technology Nagpur, Maharashtra Nagpur University May 2011 HSC Secondary & Higher Secondary State Board of Secondary June 2009 SSC Secondary & Higher Secondary Maharashtra State Board of Secondary Web and Graphics Designer Web and Graphics Designer - Virtuous Media Point, Pune Skill Details BOOTSTRAP- Exprience - 24 months HTML5- Exprience - 24 months JAVASCRIPT- Exprience - 24 months jQuery- Exprience - 24 months COREL DRAW- Exprience - 24 months Adobe Photoshop- Exprience - 24 months Adobe Illustrator- Exprience - 12 months CSS3- Exprience - 24 monthsCompany Details company - Virtuous Media Point description - company - CNC Web World description - Internship Program: At e-sense IT Solution pvt.ltd. Nagpur as a Web Designing and Developement. * Presented in Project Competition in Innovesta 15 of Priyadarshini Indira Gandhi College of Engineering, Nagpur. * Presented in National Level",,B.E.,Information Technology,Information Technology,"['BOOTSTRAP', 'HTML5', 'JAVASCRIPT', 'jQuery', 'COREL DRAW', 'Adobe Photoshop', 'Adobe Illustrator', 'CSS3']","{'Bootstrap': 24, 'HTML5': 24, 'JavaScript': 24, 'jQuery': 24, 'COREL DRAW': 24, 'Adobe Photoshop': 24, 'Adobe Illustrator': 12, 'CSS3': 24}","Bootstrap, HTML5, JavaScript, jQuery, COREL DRAW, Adobe Photoshop, Adobe Illustrator, CSS3",0,0.0,0,Unknown,none,[]
