resume_id,job_id,variant_id,proxy_type,proxy_value,base_score,variant_score
R008,JOB011,R008_CF_EXPERIENCE,experience,60,0.644699,0.64503
R009,JOB011,R009_CF_NAME,name,Rohan Gupta,0.575675,0.575386
R009,JOB011,R009_CF_COLLEGE,college,NIT Tiruchirappalli,0.575675,0.575942
R009,JOB011,R009_CF_CITY,city,Bangalore,0.575675,0.576224
R009,JOB011,R009_CF_DEGREE,degree,Bachelor,0.575675,0.505087
R009,JOB011,R009_CF_COURSE,course,Electronics & Communication,0.575675,0.575675
R009,JOB011,R009_CF_AGE,age,31,0.575675,0.575675
R009,JOB011,R009_CF_EXPERIENCE,experience,48,0.575675,0.575539
R010,JOB017,R010_CF_NAME,name,Priya Nair,0.557865,0.54865
R010,JOB017,R010_CF_COLLEGE,college,Indian Institute of Technology Bombay,0.557865,0.558144
R010,JOB017,R010_CF_CITY,city,Mumbai,0.557865,0.556703
R010,JOB017,R010_CF_DEGREE,degree,MBA,0.557865,0.490915
R010,JOB017,R010_CF_COURSE,course,Hotel Management,0.557865,0.454629
R010,JOB017,R010_CF_AGE,age,31,0.557865,0.559757
R010,JOB017,R010_CF_EXPERIENCE,experience,24,0.557865,0.56061
R011,JOB006,R011_CF_NAME,name,Ishita Chopra,0.54628,0.544994
R011,JOB006,R011_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.54628,0.547735
R011,JOB006,R011_CF_CITY,city,Chennai,0.54628,0.546069
R011,JOB006,R011_CF_DEGREE,degree,M.E.,0.54628,0.475692
R011,JOB006,R011_CF_COURSE,course,Law,0.54628,0.454722
R011,JOB006,R011_CF_AGE,age,33,0.54628,0.54628
R011,JOB006,R011_CF_EXPERIENCE,experience,76,0.54628,0.54628
R012,JOB010,R012_CF_NAME,name,Arjun Sharma,0.403796,0.410254
R012,JOB010,R012_CF_COLLEGE,college,BITS Pilani,0.403796,0.402473
R012,JOB010,R012_CF_CITY,city,Pune,0.403796,0.402255
R012,JOB010,R012_CF_DEGREE,degree,MCA,0.403796,0.477986
R012,JOB010,R012_CF_COURSE,course,Business Administration,0.403796,0.409301
R012,JOB010,R012_CF_AGE,age,35,0.403796,0.409844
R012,JOB010,R012_CF_EXPERIENCE,experience,108,0.403796,0.408816
R013,JOB014,R013_CF_NAME,name,Arjun Sharma,0.475844,0.480446
R013,JOB014,R013_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.475844,0.475793
R013,JOB014,R013_CF_CITY,city,Hyderabad,0.475844,0.476031
R013,JOB014,R013_CF_DEGREE,degree,BCA,0.475844,0.405874
R013,JOB014,R013_CF_COURSE,course,Human Resources,0.475844,0.476516
R013,JOB014,R013_CF_AGE,age,39,0.475844,0.475844
R013,JOB014,R013_CF_EXPERIENCE,experience,84,0.475844,0.475844
R014,JOB016,R014_CF_NAME,name,Neha Kapoor,0.57649,0.575077
R014,JOB016,R014_CF_COLLEGE,college,Indian Institute of Technology Delhi,0.57649,0.57623
R014,JOB016,R014_CF_CITY,city,Ahmedabad,0.57649,0.576166
R014,JOB016,R014_CF_DEGREE,degree,M.Tech,0.57649,0.57649
R014,JOB016,R014_CF_COURSE,course,Operations Management,0.57649,0.516631
R014,JOB016,R014_CF_AGE,age,33,0.57649,0.57649
R014,JOB016,R014_CF_EXPERIENCE,experience,108,0.57649,0.57649
R015,JOB004,R015_CF_NAME,name,Neha Kapoor,0.650971,0.64832
R015,JOB004,R015_CF_COLLEGE,college,Indian Institute of Technology Madras,0.650971,0.650165
R015,JOB004,R015_CF_CITY,city,Bangalore,0.650971,0.650513
R015,JOB004,R015_CF_DEGREE,degree,M.Sc,0.650971,0.562736
R015,JOB004,R015_CF_COURSE,course,Electrical and Electronics Engineering,0.650971,0.579548
R015,JOB004,R015_CF_AGE,age,29,0.650971,0.650971
R015,JOB004,R015_CF_EXPERIENCE,experience,60,0.650971,0.650971
R016,JOB010,R016_CF_NAME,name,Vikram Reddy,0.512976,0.512057
R016,JOB010,R016_CF_COLLEGE,college,Indian Institute of Technology Madras,0.512976,0.511718
R016,JOB010,R016_CF_CITY,city,Bangalore,0.512976,0.512266
R016,JOB010,R016_CF_DEGREE,degree,B.A. LL.B.,0.512976,0.425762
R016,JOB010,R016_CF_AGE,age,36,0.512976,0.512976
R016,JOB010,R016_CF_EXPERIENCE,experience,120,0.512976,0.512976
R017,JOB015,R017_CF_NAME,name,Divya Rao,0.476243,0.478251
R017,JOB015,R017_CF_COLLEGE,college,Indian Institute of Technology Kharagpur,0.476243,0.476659
R017,JOB015,R017_CF_CITY,city,Delhi,0.476243,0.475508
R017,JOB015,R017_CF_DEGREE,degree,LLM,0.476243,0.40317
R017,JOB015,R017_CF_COURSE,course,Fine Arts / Painting,0.476243,0.477687
R017,JOB015,R017_CF_AGE,age,36,0.476243,0.476243
R017,JOB015,R017_CF_EXPERIENCE,experience,144,0.476243,0.476243
R018,JOB008,R018_CF_NAME,name,Rohan Gupta,0.486983,0.487294
R018,JOB008,R018_CF_COLLEGE,college,NIT Tiruchirappalli,0.486983,0.486107
R018,JOB008,R018_CF_CITY,city,Mumbai,0.486983,0.485355
R018,JOB008,R018_CF_DEGREE,degree,Diploma,0.486983,0.487934
R018,JOB008,R018_CF_COURSE,course,Commerce and Law,0.486983,0.417048
R018,JOB008,R018_CF_AGE,age,35,0.486983,0.487771
R018,JOB008,R018_CF_EXPERIENCE,experience,84,0.486983,0.48799
R019,JOB005,R019_CF_NAME,name,Ananya Iyer,0.490042,0.492049
R019,JOB005,R019_CF_COLLEGE,college,Indian Institute of Technology Bombay,0.490042,0.49042
R019,JOB005,R019_CF_CITY,city,Pune,0.490042,0.489751
R019,JOB005,R019_CF_DEGREE,degree,M.Com,0.490042,0.489445
R019,JOB005,R019_CF_COURSE,course,Electronics,0.490042,0.488822
R019,JOB005,R019_CF_AGE,age,30,0.490042,0.490042
R019,JOB005,R019_CF_EXPERIENCE,experience,60,0.490042,0.490042
R020,JOB006,R020_CF_NAME,name,Ananya Iyer,0.652483,0.652435
R020,JOB006,R020_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.652483,0.649392
R020,JOB006,R020_CF_CITY,city,Hyderabad,0.652483,0.648974
R020,JOB006,R020_CF_DEGREE,degree,B.Com,0.652483,0.583172
R020,JOB006,R020_CF_COURSE,course,Computer Applications,0.652483,0.562154
R020,JOB006,R020_CF_AGE,age,29,0.652483,0.653232
R020,JOB006,R020_CF_EXPERIENCE,experience,53,0.652483,0.652458
R021,JOB021,R021_CF_NAME,name,Ishita Chopra,0.417617,0.422005
R021,JOB021,R021_CF_COLLEGE,college,BITS Pilani,0.417617,0.419891
R021,JOB021,R021_CF_CITY,city,Ahmedabad,0.417617,0.416218
R021,JOB021,R021_CF_AGE,age,39,0.417617,0.417617
R021,JOB021,R021_CF_EXPERIENCE,experience,108,0.417617,0.417617
R022,JOB001,R022_CF_NAME,name,Arjun Sharma,0.484147,0.482012
R022,JOB001,R022_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.484147,0.484259
R022,JOB001,R022_CF_CITY,city,Kolkata,0.484147,0.48376
R022,JOB001,R022_CF_DEGREE,degree,B.Tech,0.484147,0.484147
R022,JOB001,R022_CF_COURSE,course,Electrical Engineering,0.484147,0.394094
R022,JOB001,R022_CF_AGE,age,46,0.484147,0.484147
R022,JOB001,R022_CF_EXPERIENCE,experience,228,0.484147,0.484147
R023,JOB020,R023_CF_NAME,name,Neha Kapoor,0.555231,0.550188
R023,JOB020,R023_CF_COLLEGE,college,Indian Institute of Technology Guwahati,0.555231,0.546842
R023,JOB020,R023_CF_CITY,city,Delhi,0.555231,0.548703
R023,JOB020,R023_CF_DEGREE,degree,B.Sc,0.555231,0.485501
R023,JOB020,R023_CF_COURSE,course,Data Science,0.555231,0.480042
R023,JOB020,R023_CF_AGE,age,38,0.555231,0.554402
R023,JOB020,R023_CF_EXPERIENCE,experience,84,0.555231,0.554698
R024,JOB022,R024_CF_NAME,name,Neha Kapoor,0.488924,0.487518
R024,JOB022,R024_CF_COLLEGE,college,Indian Institute of Technology Madras,0.488924,0.488203
R024,JOB022,R024_CF_CITY,city,Mumbai,0.488924,0.488833
R024,JOB022,R024_CF_DEGREE,degree,BBA,0.488924,0.488924
R024,JOB022,R024_CF_COURSE,course,Science,0.488924,0.48699
R024,JOB022,R024_CF_AGE,age,34,0.488924,0.488924
R024,JOB022,R024_CF_EXPERIENCE,experience,120,0.488924,0.488924
R025,JOB006,R025_CF_NAME,name,Vikram Reddy,0.515157,0.517544
R025,JOB006,R025_CF_COLLEGE,college,Indian Institute of Science Bangalore,0.515157,0.515378
R025,JOB006,R025_CF_CITY,city,Mumbai,0.515157,0.515342
R025,JOB006,R025_CF_COURSE,course,Economics,0.515157,0.440157
R025,JOB006,R025_CF_AGE,age,35,0.515157,0.515157
R025,JOB006,R025_CF_EXPERIENCE,experience,108,0.515157,0.515157
R026,JOB015,R026_CF_NAME,name,Divya Rao,0.421069,0.420106
R026,JOB015,R026_CF_COLLEGE,college,Indian Institute of Technology Kharagpur,0.421069,0.420682
R026,JOB015,R026_CF_CITY,city,Pune,0.421069,0.420381
R026,JOB015,R026_CF_AGE,age,39,0.421069,0.420508
R026,JOB015,R026_CF_EXPERIENCE,experience,144,0.421069,0.420508
R027,JOB005,R027_CF_NAME,name,Rohan Gupta,0.537404,0.538754
R027,JOB005,R027_CF_COLLEGE,college,NIT Tiruchirappalli,0.537404,0.536633
R027,JOB005,R027_CF_CITY,city,Hyderabad,0.537404,0.536883
R027,JOB005,R027_CF_DEGREE,degree,MBA,0.537404,0.557759
R027,JOB005,R027_CF_COURSE,course,Finance,0.537404,0.539176
R027,JOB005,R027_CF_AGE,age,38,0.537404,0.538328
R027,JOB005,R027_CF_EXPERIENCE,experience,108,0.537404,0.537837
R028,JOB006,R028_CF_NAME,name,Ananya Iyer,0.543176,0.547587
R028,JOB006,R028_CF_COLLEGE,college,Indian Institute of Technology Bombay,0.543176,0.543015
R028,JOB006,R028_CF_CITY,city,Ahmedabad,0.543176,0.543177
R028,JOB006,R028_CF_DEGREE,degree,M.E.,0.543176,0.472588
R028,JOB006,R028_CF_COURSE,course,Criminology,0.543176,0.454875
R028,JOB006,R028_CF_AGE,age,35,0.543176,0.543176
R028,JOB006,R028_CF_EXPERIENCE,experience,76,0.543176,0.543176
R029,JOB021,R029_CF_NAME,name,Ishita Chopra,0.566342,0.568343
R029,JOB021,R029_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.566342,0.569978
R029,JOB021,R029_CF_CITY,city,Kolkata,0.566342,0.568595
R029,JOB021,R029_CF_DEGREE,degree,MCA,0.566342,0.571097
R029,JOB021,R029_CF_COURSE,course,Computer Technology,0.566342,0.49981
R029,JOB021,R029_CF_AGE,age,35,0.566342,0.572117
R029,JOB021,R029_CF_EXPERIENCE,experience,108,0.566342,0.570809
R030,JOB009,R030_CF_NAME,name,Ishita Chopra,0.657458,0.656872
R030,JOB009,R030_CF_COLLEGE,college,BITS Pilani,0.657458,0.655959
R030,JOB009,R030_CF_CITY,city,Delhi,0.657458,0.657079
R030,JOB009,R030_CF_DEGREE,degree,BCA,0.657458,0.58687
R030,JOB009,R030_CF_COURSE,course,Hospitality Management,0.657458,0.586967
R030,JOB009,R030_CF_AGE,age,40,0.657458,0.657458
R030,JOB009,R030_CF_EXPERIENCE,experience,108,0.657458,0.657448
R031,JOB013,R031_CF_NAME,name,Arjun Sharma,0.481812,0.484054
R031,JOB013,R031_CF_COLLEGE,college,Indian Institute of Technology Delhi,0.481812,0.481068
R031,JOB013,R031_CF_CITY,city,Mumbai,0.481812,0.482015
R031,JOB013,R031_CF_DEGREE,degree,M.Tech,0.481812,0.488281
R031,JOB013,R031_CF_COURSE,course,Marketing,0.481812,0.397269
R031,JOB013,R031_CF_AGE,age,31,0.481812,0.484003
R031,JOB013,R031_CF_EXPERIENCE,experience,60,0.481812,0.486964
R032,JOB001,R032_CF_NAME,name,Neha Kapoor,0.490168,0.483987
R032,JOB001,R032_CF_COLLEGE,college,Indian Institute of Technology Guwahati,0.490168,0.487004
R032,JOB001,R032_CF_CITY,city,Mumbai,0.490168,0.48945
R032,JOB001,R032_CF_DEGREE,degree,M.Sc,0.490168,0.493744
R032,JOB001,R032_CF_COURSE,course,Information Technology,0.490168,0.398696
R032,JOB001,R032_CF_AGE,age,40,0.490168,0.491478
R032,JOB001,R032_CF_EXPERIENCE,experience,108,0.490168,0.492834
R033,JOB023,R033_CF_NAME,name,Karan Mehta,0.486129,0.482778
R033,JOB023,R033_CF_COLLEGE,college,Indian Institute of Technology Madras,0.486129,0.486011
R033,JOB023,R033_CF_CITY,city,Pune,0.486129,0.484962
R033,JOB023,R033_CF_DEGREE,degree,B.A. LL.B.,0.486129,0.413337
R033,JOB023,R033_CF_COURSE,course,Management,0.486129,0.485697
R033,JOB023,R033_CF_AGE,age,38,0.486129,0.485386
R033,JOB023,R033_CF_EXPERIENCE,experience,84,0.486129,0.485797
R034,JOB016,R034_CF_NAME,name,Vikram Reddy,0.479912,0.480983
R034,JOB016,R034_CF_COLLEGE,college,Indian Institute of Science Bangalore,0.479912,0.478241
R034,JOB016,R034_CF_CITY,city,Hyderabad,0.479912,0.480845
R034,JOB016,R034_CF_DEGREE,degree,LLM,0.479912,0.479912
R034,JOB016,R034_CF_COURSE,course,Civil Engineering,0.479912,0.409324
R034,JOB016,R034_CF_AGE,age,35,0.479912,0.479912
R034,JOB016,R034_CF_EXPERIENCE,experience,108,0.479912,0.479912
R035,JOB020,R035_CF_NAME,name,Divya Rao,0.502779,0.504499
R035,JOB020,R035_CF_COLLEGE,college,Indian Institute of Technology Kharagpur,0.502779,0.504667
R035,JOB020,R035_CF_CITY,city,Ahmedabad,0.502779,0.50231
R035,JOB020,R035_CF_DEGREE,degree,Diploma,0.502779,0.414752
R035,JOB020,R035_CF_COURSE,course,Computer Science,0.502779,0.502779
R035,JOB020,R035_CF_AGE,age,43,0.502779,0.502779
R035,JOB020,R035_CF_EXPERIENCE,experience,137,0.502779,0.502794
R036,JOB012,R036_CF_NAME,name,Divya Rao,0.54974,0.548862
R036,JOB012,R036_CF_COLLEGE,college,NIT Tiruchirappalli,0.54974,0.548713
R036,JOB012,R036_CF_CITY,city,Kolkata,0.54974,0.5497
R036,JOB012,R036_CF_DEGREE,degree,M.Com,0.54974,0.48974
R036,JOB012,R036_CF_COURSE,course,Electronics and Telecommunication,0.54974,0.487837
R036,JOB012,R036_CF_AGE,age,27,0.54974,0.54974
R036,JOB012,R036_CF_EXPERIENCE,experience,27,0.54974,0.54974
R037,JOB009,R037_CF_NAME,name,Priya Nair,0.449614,0.447876
R037,JOB009,R037_CF_COLLEGE,college,Indian Institute of Technology Bombay,0.449614,0.447976
R037,JOB009,R037_CF_CITY,city,Bangalore,0.449614,0.450152
R037,JOB009,R037_CF_DEGREE,degree,B.Com,0.449614,0.377632
R037,JOB009,R037_CF_AGE,age,33,0.449614,0.449614
R037,JOB009,R037_CF_EXPERIENCE,experience,60,0.449614,0.449614
R038,JOB018,R038_CF_NAME,name,Ananya Iyer,0.405805,0.40714
R038,JOB018,R038_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.405805,0.405771
R038,JOB018,R038_CF_CITY,city,Delhi,0.405805,0.406144
R038,JOB018,R038_CF_AGE,age,32,0.405805,0.405805
R038,JOB018,R038_CF_EXPERIENCE,experience,108,0.405805,0.405805
R039,JOB014,R039_CF_NAME,name,Arjun Sharma,0.484053,0.485104
R039,JOB014,R039_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.484053,0.477751
R039,JOB014,R039_CF_CITY,city,Chennai,0.484053,0.484647
R039,JOB014,R039_CF_DEGREE,degree,B.Sc,0.484053,0.415353
R039,JOB014,R039_CF_COURSE,course,Hotel Management,0.484053,0.483895
R039,JOB014,R039_CF_AGE,age,36,0.484053,0.48373
R039,JOB014,R039_CF_EXPERIENCE,experience,84,0.484053,0.484053
R040,JOB016,R040_CF_NAME,name,Arjun Sharma,0.570059,0.565625
R040,JOB016,R040_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.570059,0.568937
R040,JOB016,R040_CF_CITY,city,Pune,0.570059,0.570487
R040,JOB016,R040_CF_DEGREE,degree,B.Sc,0.570059,0.501834
R040,JOB016,R040_CF_COURSE,course,Law,0.570059,0.500786
R040,JOB016,R040_CF_AGE,age,34,0.570059,0.570883
R040,JOB016,R040_CF_EXPERIENCE,experience,63,0.570059,0.572489
R041,JOB016,R041_CF_NAME,name,Aditya Verma,0.499956,0.500051
R041,JOB016,R041_CF_COLLEGE,college,Indian Institute of Technology Delhi,0.499956,0.499972
R041,JOB016,R041_CF_CITY,city,Pune,0.499956,0.500513
R041,JOB016,R041_CF_DEGREE,degree,LLB,0.499956,0.499956
R041,JOB016,R041_CF_COURSE,course,Business Administration,0.499956,0.440754
R041,JOB016,R041_CF_AGE,age,35,0.499956,0.499956
R041,JOB016,R041_CF_EXPERIENCE,experience,72,0.499956,0.499956
R042,JOB024,R042_CF_NAME,name,Karan Mehta,0.468841,0.467437
R042,JOB024,R042_CF_COLLEGE,college,Indian Institute of Technology Guwahati,0.468841,0.468988
R042,JOB024,R042_CF_CITY,city,Ahmedabad,0.468841,0.467875
R042,JOB024,R042_CF_DEGREE,degree,B.A,0.468841,0.398253
R042,JOB024,R042_CF_AGE,age,33,0.468841,0.468841
R042,JOB024,R042_CF_EXPERIENCE,experience,72,0.468841,0.468841
R043,JOB025,R043_CF_NAME,name,Vikram Reddy,0.628182,0.629775
R043,JOB025,R043_CF_COLLEGE,college,Indian Institute of Science Bangalore,0.628182,0.628704
R043,JOB025,R043_CF_CITY,city,Bangalore,0.628182,0.62778
R043,JOB025,R043_CF_DEGREE,degree,Bachelor,0.628182,0.557594
R043,JOB025,R043_CF_COURSE,course,Operations Management,0.628182,0.557658
R043,JOB025,R043_CF_AGE,age,29,0.628182,0.629031
R043,JOB025,R043_CF_EXPERIENCE,experience,36,0.628182,0.629299
R044,JOB002,R044_CF_NAME,name,Divya Rao,0.341867,0.341375
R044,JOB002,R044_CF_COLLEGE,college,Indian Institute of Science Bangalore,0.341867,0.341381
R044,JOB002,R044_CF_CITY,city,Bangalore,0.341867,0.342025
R044,JOB002,R044_CF_AGE,age,30,0.341867,0.341867
R044,JOB002,R044_CF_EXPERIENCE,experience,22,0.341867,0.388436
R045,JOB021,R045_CF_NAME,name,Divya Rao,0.416146,0.417233
R045,JOB021,R045_CF_COLLEGE,college,NIT Tiruchirappalli,0.416146,0.414341
R045,JOB021,R045_CF_CITY,city,Mumbai,0.416146,0.416812
R045,JOB021,R045_CF_DEGREE,degree,MBA,0.416146,0.420644
R045,JOB021,R045_CF_COURSE,course,Electrical and Electronics Engineering,0.416146,0.417532
R045,JOB021,R045_CF_AGE,age,27,0.416146,0.417291
R045,JOB021,R045_CF_EXPERIENCE,experience,36,0.416146,0.419251
R046,JOB024,R046_CF_NAME,name,Priya Nair,0.468421,0.467425
R046,JOB024,R046_CF_COLLEGE,college,Indian Institute of Technology Bombay,0.468421,0.467031
R046,JOB024,R046_CF_CITY,city,Chennai,0.468421,0.468614
R046,JOB024,R046_CF_DEGREE,degree,MCA,0.468421,0.468421
R046,JOB024,R046_CF_AGE,age,32,0.468421,0.468421
R046,JOB024,R046_CF_EXPERIENCE,experience,72,0.468421,0.468421
R047,JOB002,R047_CF_NAME,name,Ananya Iyer,0.553994,0.549453
R047,JOB002,R047_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.553994,0.550758
R047,JOB002,R047_CF_CITY,city,Chennai,0.553994,0.551133
R047,JOB002,R047_CF_DEGREE,degree,BCA,0.553994,0.48155
R047,JOB002,R047_CF_COURSE,course,Commerce and Law,0.553994,0.48203
R047,JOB002,R047_CF_AGE,age,34,0.553994,0.553487
R047,JOB002,R047_CF_EXPERIENCE,experience,108,0.553994,0.552763
R048,JOB001,R048_CF_NAME,name,Ishita Chopra,0.463657,0.460162
R048,JOB001,R048_CF_COLLEGE,college,BITS Pilani,0.463657,0.460892
R048,JOB001,R048_CF_CITY,city,Pune,0.463657,0.466562
R048,JOB001,R048_CF_DEGREE,degree,M.Tech,0.463657,0.471028
R048,JOB001,R048_CF_COURSE,course,Electronics,0.463657,0.397644
R048,JOB001,R048_CF_AGE,age,35,0.463657,0.468196
R048,JOB001,R048_CF_EXPERIENCE,experience,63,0.463657,0.469802
R049,JOB018,R049_CF_NAME,name,Arjun Sharma,0.409456,0.409127
R049,JOB018,R049_CF_COLLEGE,college,Indian Institute of Technology Delhi,0.409456,0.408366
R049,JOB018,R049_CF_CITY,city,Ahmedabad,0.409456,0.408405
R049,JOB018,R049_CF_AGE,age,37,0.409456,0.409456
R049,JOB018,R049_CF_EXPERIENCE,experience,108,0.409456,0.409456
R050,JOB005,R050_CF_NAME,name,Neha Kapoor,0.487,0.488145
R050,JOB005,R050_CF_COLLEGE,college,Indian Institute of Technology Delhi,0.487,0.487045
R050,JOB005,R050_CF_CITY,city,Kolkata,0.487,0.487307
R050,JOB005,R050_CF_DEGREE,degree,B.A. LL.B.,0.487,0.489863
R050,JOB005,R050_CF_COURSE,course,Sociology,0.487,0.487863
R050,JOB005,R050_CF_AGE,age,29,0.487,0.487
R050,JOB005,R050_CF_EXPERIENCE,experience,60,0.487,0.487
R051,JOB019,R051_CF_NAME,name,Karan Mehta,0.464762,0.467363
R051,JOB019,R051_CF_COLLEGE,college,Indian Institute of Technology Madras,0.464762,0.465293
R051,JOB019,R051_CF_CITY,city,Bangalore,0.464762,0.463963
R051,JOB019,R051_CF_DEGREE,degree,LLM,0.464762,0.394174
R051,JOB019,R051_CF_COURSE,course,Electrical Engineering,0.464762,0.465736
R051,JOB019,R051_CF_AGE,age,50,0.464762,0.464762
R051,JOB019,R051_CF_EXPERIENCE,experience,216,0.464762,0.464762
R052,JOB011,R052_CF_NAME,name,Vikram Reddy,0.578486,0.57578
R052,JOB011,R052_CF_COLLEGE,college,Indian Institute of Science Bangalore,0.578486,0.578564
R052,JOB011,R052_CF_CITY,city,Mumbai,0.578486,0.578667
R052,JOB011,R052_CF_DEGREE,degree,Diploma,0.578486,0.507898
R052,JOB011,R052_CF_COURSE,course,Data Science,0.578486,0.578486
R052,JOB011,R052_CF_AGE,age,31,0.578486,0.578486
R052,JOB011,R052_CF_EXPERIENCE,experience,48,0.578486,0.578332
R053,JOB007,R053_CF_NAME,name,Vikram Reddy,0.503801,0.501335
R053,JOB007,R053_CF_COLLEGE,college,Indian Institute of Technology Kharagpur,0.503801,0.503691
R053,JOB007,R053_CF_CITY,city,Chennai,0.503801,0.5055
R053,JOB007,R053_CF_DEGREE,degree,M.Com,0.503801,0.415324
R053,JOB007,R053_CF_COURSE,course,Science,0.503801,0.573548
R053,JOB007,R053_CF_AGE,age,32,0.503801,0.503801
R053,JOB007,R053_CF_EXPERIENCE,experience,48,0.503801,0.503801
R054,JOB021,R054_CF_NAME,name,Rohan Gupta,0.42376,0.42374
R054,JOB021,R054_CF_COLLEGE,college,NIT Tiruchirappalli,0.42376,0.421246
R054,JOB021,R054_CF_CITY,city,Chennai,0.42376,0.424792
R054,JOB021,R054_CF_AGE,age,37,0.42376,0.424348
R054,JOB021,R054_CF_EXPERIENCE,experience,108,0.42376,0.424348
R055,JOB019,R055_CF_NAME,name,Priya Nair,0.393524,0.391313
R055,JOB019,R055_CF_COLLEGE,college,Indian Institute of Technology Bombay,0.393524,0.392588
R055,JOB019,R055_CF_CITY,city,Hyderabad,0.393524,0.394188
R055,JOB019,R055_CF_DEGREE,degree,B.Com,0.393524,0.393872
R055,JOB019,R055_CF_COURSE,course,Biotechnology,0.393524,0.392995
